Position,Acceptor_Ref,Donor_Ref,Acceptor_Mut,Donor_Mut
0,1.9266842e-10,1.0091812e-09,1.8879852e-10,9.985355e-10
1,1.5289572e-10,2.229645e-10,1.4981667e-10,2.1933115e-10
2,2.0768628e-10,7.119421e-10,2.0762965e-10,7.0775036e-10
3,6.465908e-10,2.932481e-09,6.4004463e-10,2.9168503e-09
4,1.1565856e-10,2.628863e-10,1.1333459e-10,2.6011612e-10
5,1.0768942e-08,9.977439e-09,1.0552075e-08,9.872189e-09
6,3.850323e-09,4.3144035e-09,3.7728203e-09,4.268729e-09
7,1.4783147e-09,2.6401956e-09,1.4401966e-09,2.6105964e-09
8,6.979878e-11,2.9136364e-09,6.854752e-11,2.8979683e-09
9,2.1062847e-09,3.1455887e-09,2.0680568e-09,3.110264e-09
10,5.9960032e-09,1.4787102e-08,5.93445e-09,1.4707331e-08
11,2.1730129e-09,2.1447777e-09,2.1341435e-09,2.1209998e-09
12,1.1835917e-09,8.976545e-10,1.1741165e-09,8.975432e-10
13,3.3692363e-08,2.8220993e-06,3.315932e-08,2.8216284e-06
14,1.5391257e-09,1.3003872e-09,1.5203763e-09,1.286812e-09
15,3.316446e-09,1.2339066e-09,3.2501053e-09,1.2139266e-09
16,7.37117e-10,5.74843e-10,7.369764e-10,5.747772e-10
17,3.387207e-10,8.487029e-10,3.3457662e-10,8.3502244e-10
18,4.0315637e-10,4.916677e-10,3.9817452e-10,4.836787e-10
19,1.3022804e-10,4.5475906e-10,1.2815453e-10,4.546368e-10
20,1.9535467e-09,4.6469703e-10,1.929524e-09,4.5982135e-10
21,8.5623914e-10,2.482164e-10,8.45728e-10,2.4562563e-10
22,1.2773461e-09,1.7011891e-09,1.2569936e-09,1.7007024e-09
23,2.3025726e-10,6.5072553e-10,2.2561812e-10,6.4011907e-10
24,5.6679406e-10,1.7769533e-10,5.5543914e-10,1.7480901e-10
25,3.2616665e-10,8.637135e-11,3.2098132e-10,8.6352564e-11
26,2.198438e-10,3.1742578e-10,2.1634546e-10,3.1734343e-10
27,5.4046945e-10,3.7246842e-10,5.2967225e-10,3.6644354e-10
28,1.07350635e-08,1.450164e-09,1.0626502e-08,1.4341851e-09
29,5.2102898e-08,9.965563e-07,5.1056947e-08,9.832221e-07
30,4.276022e-09,6.198877e-10,4.1571457e-09,6.0977345e-10
31,6.3490786e-09,7.4736517e-10,6.2211956e-09,7.352186e-10
32,1.9594679e-10,2.595269e-10,1.8897613e-10,2.552695e-10
33,2.8775102e-10,5.0293648e-11,2.8540884e-10,5.0282136e-11
34,1.645915e-08,2.4282562e-10,1.612434e-08,2.3883626e-10
35,9.950586e-09,3.68141e-10,9.750143e-09,3.6213982e-10
36,4.1773485e-10,2.3753965e-10,4.1432355e-10,2.3610325e-10
37,1.2020063e-08,1.2452623e-09,1.187203e-08,1.2251171e-09
38,2.1957611e-09,2.5102734e-10,2.1687605e-09,2.4840252e-10
39,2.1482294e-09,7.1358267e-11,2.1217281e-09,7.019985e-11
40,6.040953e-10,4.998008e-11,5.919863e-10,4.945445e-11
41,1.550576e-09,2.2559919e-10,1.5436797e-09,2.2324237e-10
42,1.219608e-09,1.2043205e-10,1.2097845e-09,1.1972025e-10
43,6.8938584e-09,4.7947557e-10,6.7553882e-09,4.7439863e-10
44,6.8751954e-10,3.1693616e-11,6.766256e-10,3.1686667e-11
45,4.6925824e-10,2.7566895e-11,4.5985465e-10,2.7276984e-11
46,8.5477225e-10,2.3575358e-10,8.442001e-10,2.3192512e-10
47,1.3836374e-09,6.695774e-10,1.366498e-09,6.5869127e-10
48,4.8617416e-10,1.1468192e-10,4.7842225e-10,1.1398974e-10
49,1.8000339e-10,1.2970598e-10,1.764077e-10,1.27605e-10
50,1.6639909e-10,5.845002e-11,1.6306925e-10,5.7836864e-11
51,1.9331961e-10,7.614953e-10,1.9022882e-10,7.5687184e-10
52,9.518782e-08,4.7587423e-09,9.327997e-08,4.681543e-09
53,9.8512636e-11,1.2029867e-10,9.695981e-11,1.1958651e-10
54,9.895858e-11,1.1089348e-10,9.849873e-11,1.0909035e-10
55,5.72851e-10,3.9550736e-09,5.6137256e-10,3.8908903e-09
56,3.6676838e-08,1.6418538e-09,3.5935898e-08,1.6150833e-09
57,3.1169392e-09,8.2444446e-10,3.030269e-09,8.110004e-10
58,1.3837713e-10,8.005832e-10,1.3618191e-10,7.957982e-10
59,1.5511231e-09,5.8524936e-09,1.5198892e-09,5.7569696e-09
60,2.5555364e-09,5.0014626e-10,2.5041729e-09,4.919914e-10
61,7.022339e-08,1.6584284e-08,6.9357355e-08,1.6315122e-08
62,7.41559e-10,1.3919463e-09,7.323997e-10,1.3693472e-09
63,2.0986135e-09,2.4424807e-09,2.0563433e-09,2.4027107e-09
64,6.407103e-10,1.3828643e-09,6.341753e-10,1.3674732e-09
65,1.4059627e-09,1.4117098e-10,1.3776806e-09,1.3887023e-10
66,2.9865782e-10,1.9400036e-10,2.9625846e-10,1.9396891e-10
67,3.3678807e-10,1.0907043e-09,3.301121e-10,1.0731578e-09
68,3.5153325e-10,1.6824563e-10,3.4720724e-10,1.6551847e-10
69,9.2179135e-09,9.777104e-10,9.104233e-09,9.618586e-10
70,3.785209e-10,7.4177686e-10,3.717204e-10,7.3353634e-10
71,1.2739835e-09,1.0240924e-09,1.2485325e-09,1.0133069e-09
