Position,Acceptor_Ref,Donor_Ref
0,7.273061e-10,2.114307e-09
1,5.429398e-05,1.2017051e-08
2,3.1836075e-10,9.310015e-11
3,1.2680386e-10,4.965549e-11
4,2.4504085e-09,2.0110841e-10
5,4.1768944e-10,2.6921237e-10
6,2.4498499e-11,3.912811e-11
7,6.9231565e-11,5.1222346e-11
8,6.01018e-12,8.1438065e-11
9,9.431115e-12,1.14660425e-11
10,6.0907655e-12,1.2105134e-10
11,1.8193901e-11,6.043762e-11
12,2.3475902e-12,1.9419981e-11
13,1.5970114e-11,2.937613e-10
14,6.3138422e-12,5.974558e-11
15,1.8340715e-12,3.5222655e-10
16,6.9282123e-12,9.493077e-11
17,3.4880588e-12,6.364628e-11
18,3.3496816e-13,1.6536692e-11
19,2.998171e-13,1.3509191e-11
20,7.482983e-13,5.8669396e-11
21,2.704848e-13,6.680106e-11
22,3.939776e-12,1.7935419e-11
23,3.3933596e-12,9.362994e-11
24,1.2712176e-11,1.1206532e-09
25,1.2855714e-08,1.3591677e-09
26,2.0174067e-11,1.3115327e-11
27,6.9600003e-12,1.3756442e-11
28,6.359689e-11,2.1491707e-10
29,1.2933715e-10,4.4298648e-11
30,8.492915e-12,9.492656e-12
31,2.738928e-11,9.198901e-11
32,2.1988477e-11,1.0472439e-11
33,7.751494e-12,3.7957335e-11
34,1.3093257e-11,7.198079e-11
35,1.9967765e-11,1.04377854e-10
36,3.665585e-12,3.6736923e-11
37,2.9916777e-12,7.749945e-11
38,1.2266755e-11,2.68395e-11
39,1.9016624e-12,5.5479826e-11
40,5.9934098e-12,1.0324488e-10
41,2.0957276e-11,4.9050013e-12
42,8.9966585e-12,2.1843218e-11
43,1.7785428e-11,1.0471205e-10
44,4.189347e-11,1.9290818e-10
45,6.849815e-10,8.172941e-10
46,4.54777e-11,2.4872859e-11
47,9.3270065e-11,6.7401563e-11
48,2.577097e-10,2.2009931e-10
49,5.658564e-10,3.5065417e-09
50,1.0987887e-10,1.8871559e-11
51,4.2796833e-10,4.1129433e-11
52,1.1806531e-10,7.36164e-11
53,7.8121586e-11,6.5709573e-12
54,5.872246e-11,8.44122e-12
55,1.2789642e-10,1.4970634e-11
56,1.451904e-10,5.50716e-11
57,1.0407311e-10,3.912393e-11
58,4.545481e-11,9.838678e-12
59,8.32584e-11,7.207953e-12
60,4.1182262e-11,1.6585368e-11
61,2.9541772e-10,9.5608695e-12
62,7.618247e-11,7.806911e-12
63,9.337646e-12,1.261284e-11
64,2.1885922e-11,3.0536173e-12
65,2.4530808e-11,1.0446742e-11
66,1.0365209e-11,6.5064672e-12
67,7.5886186e-11,4.632799e-11
68,2.0457183e-09,1.844745e-11
69,3.0937655e-11,6.1724193e-12
70,3.386178e-11,3.4484475e-12
71,5.916835e-11,7.821026e-12
72,7.4088955e-12,2.5398466e-12
73,4.2190324e-11,1.2220563e-11
74,1.0847019e-10,1.7931921e-12
75,3.7925493e-11,3.8929946e-11
76,1.0442172e-09,9.942044e-10
77,3.6537362e-10,3.6424832e-11
78,8.3367774e-10,2.2270215e-11
79,1.4004567e-10,4.8631394e-11
80,1.3355149e-10,7.880353e-12
81,5.062926e-11,2.0849069e-11
82,3.7491225e-11,1.5558952e-11
83,2.6436914e-10,5.9204926e-11
84,6.5775846e-10,3.3707404e-10
85,4.2405512e-10,1.7378243e-10
86,4.0726106e-10,6.368429e-11
87,3.0724268e-10,1.0032987e-09
88,7.0537944e-11,7.24896e-11
89,2.3003514e-10,3.6175457e-10
90,4.1084527e-10,1.1512818e-09
91,1.5975138e-08,1.7610971e-06
92,1.0969305e-08,6.697856e-10
93,2.6850777e-10,2.8182465e-09
94,1.8001334e-10,7.271185e-11
95,2.10296e-10,8.795282e-11
96,9.639225e-11,1.7404406e-11
97,7.8488854e-11,2.5817942e-11
98,2.0281682e-10,1.5436524e-10
99,6.5339334e-10,6.431616e-10
100,1.7952447e-09,1.5722926e-09
101,8.676667e-10,3.8003933e-10
102,3.2783382e-10,2.1155927e-10
103,1.0825653e-09,7.062953e-10
104,1.2197353e-10,2.6470052e-11
105,3.0930472e-10,1.7779433e-10
106,2.1035979e-10,1.7409363e-10
107,3.1523198e-10,3.38103e-10
108,2.192408e-10,5.027957e-10
109,1.3159811e-10,2.1159599e-10
110,3.0729952e-10,8.045387e-10
111,1.1666311e-10,4.985823e-10
112,2.1211697e-09,2.369687e-09
113,2.0023191e-10,1.5210347e-09
114,2.6159533e-10,1.9157322e-09
115,2.6706998e-10,5.5546163e-09
116,2.8158917e-10,1.3317812e-09
117,7.3711276e-10,8.7092816e-10
118,3.464392e-10,5.7122125e-09
119,7.9275314e-10,1.1076207e-09
120,7.73524e-10,2.7166833e-09
121,2.622658e-10,2.2752607e-10
122,2.6461836e-10,4.685097e-10
123,1.8468028e-09,3.2161516e-09
124,1.8345668e-10,2.0899922e-10
125,1.7250275e-10,7.826585e-10
126,3.4480171e-10,2.638877e-09
127,2.0296194e-10,2.377364e-10
128,5.0286355e-11,3.529421e-10
129,1.9304842e-10,7.4204715e-10
130,1.7156038e-10,1.2059044e-10
131,6.8686024e-10,3.6289488e-10
132,1.8336476e-09,7.1914714e-09
133,6.943919e-11,1.3034086e-10
134,2.441692e-10,1.6191445e-10
135,4.3363793e-10,1.3909927e-10
136,3.9792836e-11,1.7753975e-11
137,9.920691e-11,7.285734e-11
138,4.5496617e-11,1.2954873e-10
139,1.8094578e-11,3.4792034e-11
140,8.209492e-12,7.876986e-12
141,1.1230359e-11,2.8267482e-12
142,1.8201746e-11,1.5642864e-11
143,7.672991e-11,5.947483e-12
144,1.5313388e-10,1.7323176e-10
145,4.4068544e-09,2.2343566e-11
146,1.7624046e-11,2.628165e-11
147,6.4745556e-11,1.5559515e-11
148,1.0239703e-11,2.7744066e-12
149,1.1547582e-10,8.919668e-12
150,3.1173703e-11,1.0096928e-10
151,1.5168186e-10,8.4178905e-12
152,1.2113009e-10,1.7847649e-11
153,5.2381873e-11,6.4145834e-11
154,7.715241e-11,5.3797895e-12
155,3.2140832e-10,2.6082645e-11
156,5.2151488e-11,6.2394035e-12
157,2.2891104e-11,1.0964058e-11
158,1.465489e-11,1.8797809e-11
159,5.400158e-11,1.03670674e-11
160,1.3364475e-10,2.7643837e-10
161,1.2587852e-10,9.425559e-12
162,1.9411094e-11,1.23597825e-11
163,9.216568e-11,8.215009e-11
164,2.8179103e-11,5.3170116e-12
165,8.426875e-11,1.6975345e-11
166,4.0597574e-11,3.9872074e-11
167,6.023668e-11,6.9406846e-12
168,1.1962182e-11,7.1014986e-12
169,8.221467e-11,2.3159523e-11
170,3.0927684e-11,8.1643366e-11
171,1.12319716e-10,4.4362972e-12
172,5.27809e-12,6.625071e-12
173,1.1889263e-10,1.1828327e-10
174,6.442512e-12,4.6140054e-12
175,7.558471e-11,5.6684886e-11
176,4.2766315e-10,8.121098e-11
177,3.935595e-11,2.3809111e-11
178,2.7871268e-11,2.7386616e-11
179,3.053689e-11,5.839821e-11
180,1.255761e-10,2.215895e-11
181,3.7350142e-10,4.6053907e-11
182,1.7604872e-10,1.06953627e-10
183,1.2075638e-10,1.3580572e-11
184,3.5224892e-09,4.2066925e-10
185,7.693383e-09,6.7090433e-10
186,1.11498574e-10,6.323982e-11
187,2.190737e-09,2.1534834e-10
188,2.562246e-10,1.456375e-10
189,3.3798433e-10,1.09358675e-10
190,5.6797467e-10,8.016631e-11
191,2.3185878e-10,1.0213181e-10
192,4.9954396e-09,5.055219e-10
193,8.159269e-09,1.987313e-10
194,2.2182525e-09,1.1742973e-10
195,1.16710845e-08,3.9110298e-10
196,2.4315707e-07,8.886104e-10
197,8.1034635e-10,3.959417e-11
198,1.7818823e-09,1.0047042e-09
199,2.7671494e-09,8.226601e-10
200,4.8889742e-08,1.4113416e-09
201,9.011751e-09,2.7235318e-09
202,2.974878e-10,7.276446e-10
203,3.324735e-10,2.0620423e-09
204,1.6502877e-08,2.687308e-09
205,4.8254005e-09,2.0782032e-09
206,8.021285e-10,1.1496909e-09
207,6.614586e-10,3.0103253e-09
208,3.8375285e-05,9.04982e-08
209,3.4850984e-09,1.6300465e-09
210,9.8280294e-11,3.4430028e-10
211,3.550013e-10,1.3611931e-10
212,3.061968e-09,3.1505123e-09
213,2.0178128e-09,1.0098878e-09
214,2.6419512e-11,4.1292064e-11
215,4.863358e-09,1.6788925e-09
216,1.4587437e-10,2.6533958e-10
217,1.0057353e-10,1.3983933e-10
218,2.6506478e-11,1.0187932e-09
219,2.6892946e-11,3.6706543e-10
220,5.5935923e-09,1.949984e-09
221,2.9901917e-10,1.5371432e-08
222,1.7522586e-11,1.3949755e-10
223,3.804054e-11,3.6609077e-10
224,9.4182856e-11,1.6734057e-10
225,8.2489904e-10,5.493462e-10
226,1.3368018e-10,1.6481195e-09
227,2.1551556e-10,7.099041e-10
228,2.2381442e-11,6.287258e-09
229,2.7679978e-10,6.925643e-10
230,7.31107e-11,3.3018077e-10
231,4.2923685e-11,1.1874848e-10
232,2.89036e-10,1.2542897e-09
233,1.2050329e-10,5.9059346e-10
234,2.7738352e-12,2.2028283e-10
235,2.7095133e-11,1.243152e-10
236,1.7014858e-11,6.0801514e-10
237,3.8928812e-12,2.6874792e-11
238,3.869836e-12,6.657604e-11
239,9.478079e-11,3.5649747e-10
240,6.188502e-11,3.4799004e-11
241,2.8721037e-10,1.3390423e-10
242,4.931909e-11,4.730496e-10
243,1.2744397e-10,1.0636853e-10
244,2.3990623e-08,3.7389272e-10
245,1.8696303e-10,7.6249194e-11
246,5.0511872e-11,7.449099e-11
247,7.08173e-10,2.9618658e-11
248,9.70507e-10,5.4843013e-10
249,5.6828353e-10,7.328619e-11
250,1.9737968e-10,5.1142784e-11
251,6.0552224e-10,8.276125e-11
252,3.711793e-09,3.186414e-10
253,1.4333887e-10,1.0236135e-10
254,1.9535967e-11,2.4725753e-11
255,1.8222276e-11,5.2523735e-11
256,1.42655835e-11,7.1900104e-11
257,4.0680275e-11,3.9732693e-11
258,1.5150773e-11,7.3521265e-11
259,1.7379029e-11,6.0726146e-11
260,3.153052e-11,8.2162624e-11
261,5.848002e-11,3.969232e-11
262,1.9546041e-10,3.0037337e-10
263,3.224102e-11,2.587952e-11
264,2.187645e-11,5.9216555e-11
265,8.371957e-11,6.375539e-11
266,3.1657021e-10,3.4353655e-11
267,1.0437701e-11,1.6716375e-11
268,7.381577e-11,4.9594155e-11
269,1.8837576e-11,9.848516e-12
270,4.2912146e-11,1.20819e-11
271,5.7046173e-11,9.725982e-12
272,1.8443239e-10,1.7517005e-11
273,1.4208484e-10,2.72208e-11
274,1.2855113e-10,8.1940045e-12
275,9.0216314e-11,2.4763226e-11
276,2.1749524e-10,4.9881793e-11
277,1.4934251e-10,1.23050225e-11
278,1.4211872e-10,1.0828167e-10
279,2.34859e-11,8.279199e-12
280,1.0049453e-10,2.4517898e-11
281,2.5464025e-10,5.6731397e-11
282,6.5022676e-10,2.8711054e-11
283,2.0324997e-08,6.4209124e-11
284,1.8555761e-10,2.8823428e-11
285,9.0245267e-10,9.635695e-11
286,1.387143e-10,3.2567785e-11
287,6.302548e-11,1.5228272e-11
288,1.2090418e-09,8.0179925e-11
289,7.359075e-10,1.22899e-10
