Position,Acceptor_Ref,Donor_Ref,Acceptor_Mut,Donor_Mut
0,4.153324e-09,3.7072965e-08,4.169928e-09,3.7213532e-08
1,2.2062569e-08,3.3527606e-08,2.2345445e-08,3.3779582e-08
2,2.7385422e-08,4.0391114e-08,2.7311804e-08,4.0462364e-08
3,3.9038575e-08,1.253904e-08,3.921111e-08,1.2607269e-08
4,9.351061e-08,2.5701473e-07,9.493282e-08,2.6143246e-07
5,1.0001232e-07,7.2986616e-08,1.0123184e-07,7.350073e-08
6,1.5123458e-08,1.0035813e-08,1.5494603e-08,1.00981055e-08
7,9.0600096e-08,1.34442075e-08,9.05809e-08,1.3466499e-08
8,7.2833033e-09,5.6915786e-07,7.270109e-09,5.6812485e-07
9,6.0904997e-09,2.8683354e-08,6.1100893e-09,2.8820915e-08
10,6.275042e-09,5.5817644e-08,6.3091123e-09,5.601014e-08
11,6.961047e-07,1.8748874e-08,6.9278957e-07,1.8781602e-08
12,1.748667e-07,3.9647898e-07,1.7743024e-07,3.983013e-07
13,3.3228982e-08,4.8456525e-07,3.320963e-08,4.86111e-07
14,4.3089976e-08,1.8192682e-07,4.309827e-08,1.8211286e-07
15,5.1357357e-08,4.094848e-07,5.176015e-08,4.098731e-07
16,1.0465609e-07,6.8393504e-08,1.0467361e-07,6.853748e-08
17,2.3194389e-08,4.5163354e-08,2.3191046e-08,4.5212147e-08
18,1.3553437e-08,2.9633545e-08,1.3591891e-08,2.9682132e-08
19,1.0287106e-08,5.5527362e-08,1.0364346e-08,5.5419672e-08
20,7.094333e-08,1.4136721e-08,7.121925e-08,1.4122459e-08
21,2.752986e-08,1.2212041e-08,2.7706353e-08,1.2274148e-08
22,1.4890996e-07,9.284285e-08,1.473308e-07,9.3187964e-08
23,2.1528047e-08,8.780026e-08,2.1803515e-08,8.8677e-08
24,9.478805e-08,2.540175e-06,9.554244e-08,2.5838515e-06
25,2.0239106e-08,1.9010235e-08,2.02979e-08,1.9156309e-08
26,1.3461967e-07,7.496543e-08,1.3632638e-07,7.566556e-08
27,2.6476087e-08,2.4709212e-07,2.6388879e-08,2.47307e-07
28,4.876314e-07,2.6482116e-08,4.8669773e-07,2.6576979e-08
29,2.2079323e-07,2.0145268e-05,2.229912e-07,2.0097761e-05
30,8.7599785e-09,6.254545e-08,8.785862e-09,6.2793845e-08
31,7.2674737e-09,3.8952138e-08,7.3777073e-09,3.93758e-08
32,6.0173577e-09,8.718605e-08,5.996919e-09,8.7049806e-08
33,1.0784643e-08,1.7778507e-07,1.0743949e-08,1.7713552e-07
34,5.7948144e-09,1.165292e-08,5.8408984e-09,1.1732466e-08
35,1.4266044e-08,1.16570265e-08,1.4294452e-08,1.1700644e-08
36,3.1758027e-08,2.201297e-08,3.1500434e-08,2.195829e-08
37,1.7520701e-08,3.5114986e-08,1.7721602e-08,3.544796e-08
38,7.428502e-09,3.6156756e-08,7.464483e-09,3.6245428e-08
39,8.988913e-09,7.063376e-08,9.003919e-09,7.043922e-08
40,9.241243e-09,4.2339096e-08,9.234157e-09,4.2366068e-08
41,4.1482064e-08,2.6741938e-07,4.1516934e-08,2.678285e-07
42,5.250732e-09,2.656331e-08,5.236408e-09,2.6603079e-08
