acceptor_ref,acceptor_A,acceptor_C,acceptor_G,acceptor_T,acceptor_A_change,acceptor_C_change,acceptor_G_change,acceptor_T_change,donor_ref,donor_A,donor_C,donor_G,donor_T,donor_A_change,donor_C_change,donor_G_change,donor_T_change
8.713138786049513e-06,9.348395491564076e-06,9.424614739508286e-06,8.934040328938408e-06,1.0128495912535839e-05,-6.352567055145637e-07,-7.114759534587727e-07,-2.209015428888956e-07,-1.4153571264863262e-06,0.9589080852270127,0.9559574472904205,0.9567434054613113,0.9545427784323692,0.9471338939666748,0.0029506379365921154,0.0021646797657013384,0.00436530679464342,0.011774191260337852
8.713138786049513e-06,8.804633264407613e-06,8.752244873289072e-06,9.438236608119155e-06,9.410000021432552e-06,-9.149447835810051e-08,-3.910608723955948e-08,-7.250978220696422e-07,-6.968612353830395e-07,0.9589080852270127,0.9574260807037354,0.958693308532238,0.9546696436405182,0.9573643869161605,0.0014820045232772916,0.00021477669477465433,0.004238441586494446,0.001543698310852104
8.713138786049513e-06,8.580496682384365e-06,8.60000493407398e-06,8.841612265690913e-06,8.465149991838671e-06,1.3264210366514803e-07,1.1313385197553282e-07,-1.284734796414002e-07,2.4798879421084154e-07,0.9589080852270127,0.9583624091744423,0.9602591779828071,0.9591463875770568,0.9588029712438584,0.0005456760525703874,-0.0013510927557944807,-0.00023830235004418387,0.00010511398315427023
8.713138786049513e-06,8.682846158407641e-06,8.742339610545713e-06,8.893295080714125e-06,8.607601092904815e-06,3.029262764187139e-08,-2.920082449620047e-08,-1.8015629466461217e-07,1.0553769314469814e-07,0.9589080852270127,0.957415052652359,0.9584192231297493,0.9571615582704545,0.9593786805868149,0.0014930325746536077,0.0004888620972633984,0.001746526956558192,-0.0004705953598022061
8.713138786049513e-06,9.095412790482982e-06,8.931422978513126e-06,9.135336329535448e-06,9.71411189585325e-06,-3.8227400443346897e-07,-2.1828419246361282e-07,-4.221975434859352e-07,-1.0009731098037377e-06,0.9589080852270127,0.9568874698877334,0.9581117036938668,0.952894769012928,0.9560929116606712,0.002020615339279219,0.0007963815331458735,0.00601331621408463,0.0028151735663414224
8.713138786049513e-06,9.157144194116285e-06,8.865340773667186e-06,8.893447953308708e-06,8.609401406918238e-06,-4.4400540806677207e-07,-1.5220198761767306e-07,-1.8030916725919515e-07,1.0373737913127457e-07,0.9589080852270127,0.956279154419899,0.9587934041023254,0.9567501485347748,0.9594962418079376,0.002628930807113683,0.00011468112468726588,0.0021579366922378496,-0.0005881565809249256
8.713138786049513e-06,9.06280582857022e-06,8.891518125615505e-06,8.743148398373535e-06,8.762036644771598e-06,-3.4966704252070747e-07,-1.7837933956599205e-07,-3.000961232402172e-08,-4.889785872208556e-08,0.9589080852270127,0.9527524054050446,0.9581744891405105,0.9575257304310799,0.9584188464283944,0.006155679821968074,0.0007335960865021418,0.0013823547959327387,0.0004892387986182856
8.713138786049513e-06,9.89586119912289e-06,8.762236640293964e-06,9.554408758774003e-06,8.392396656677903e-06,-1.1827224130733772e-06,-4.909785424445131e-08,-8.4126997272449e-07,3.2074212937160944e-07,0.9589080852270127,0.949865865111351,0.958438284099102,0.9498642438650131,0.95943533629179,0.009042220115661692,0.00046980112791061845,0.009043841361999538,-0.0005272510647773565
8.713138786049513e-06,9.125241491680924e-06,9.340317166248724e-06,9.69885573891105e-06,9.297227487650161e-06,-4.121027056314112e-07,-6.271783801992116e-07,-9.85716952861537e-07,-5.840887016006485e-07,0.9589080852270127,0.9576014211773872,0.9540554720163346,0.950866981446743,0.9547214224934578,0.0013066640496254278,0.004852613210678092,0.008041103780269676,0.004186662733554836
8.713138786049513e-06,1.004118887008687e-05,9.689605059115535e-06,9.579524418583673e-06,9.429647512622097e-06,-1.3280500840373574e-06,-9.764662730660227e-07,-8.663856325341604e-07,-7.165087265725845e-07,0.9589080852270127,0.947420687675476,0.9501187810301781,0.9545400357246399,0.9520071420073509,0.011487397551536604,0.008789304196834546,0.004368049502372795,0.006900943219661726
8.713138786049513e-06,9.081550614897792e-06,8.899208108399392e-06,8.807752454558226e-06,8.943441809581288e-06,-3.6841182884827964e-07,-1.8606932234987892e-07,-9.461366850871353e-08,-2.303030235317747e-07,0.9589080852270127,0.9574451553821564,0.9575651639699936,0.9551268845796586,0.9569994047284126,0.0014629298448562977,0.0013429212570190696,0.0037812006473540993,0.001908680498600046
