Position,Acceptor_Ref,Donor_Ref
0,1.7698456e-07,8.717584e-07
1,0.004858374,5.620642e-06
2,7.5286366e-08,3.9409278e-07
3,1.2817044e-07,2.2501827e-07
4,6.163269e-07,1.09154065e-07
5,1.6613856e-07,1.6966227e-06
6,1.1292152e-06,4.0928475e-07
7,7.115588e-08,5.6473958e-08
8,3.9538614e-07,5.0103546e-07
9,1.18882326e-07,6.6014536e-07
10,5.976409e-07,4.509718e-07
11,1.6257596e-06,3.9139917e-07
12,1.1033073e-06,3.7857293e-07
13,2.1245582e-05,3.0832408e-07
14,8.3464437e-07,2.1199727e-07
15,9.744831e-07,1.4939785e-06
16,7.3756337e-06,2.7895223e-07
17,6.164926e-08,5.4842552e-08
18,6.1748716e-07,4.3996616e-07
19,4.691824e-07,1.0474091e-07
20,1.1110066e-06,2.8287825e-08
21,1.1999069e-07,5.308643e-07
22,1.1652372e-06,1.7963116e-07
23,3.31211e-06,1.2071749e-07
24,1.0153851e-06,6.578934e-07
25,6.151657e-06,2.9431007e-07
26,3.5274155e-07,1.4823877e-08
27,2.3917082e-07,1.1470421e-08
28,5.295025e-07,3.237032e-07
29,6.437877e-07,3.0935627e-08
30,4.4882736e-07,2.3037014e-08
31,1.5972864e-07,6.642714e-08
32,1.0626005e-06,7.2691826e-08
33,3.3172577e-07,1.582629e-07
34,6.1266644e-07,9.283026e-08
35,3.237106e-07,1.1940017e-07
36,8.269925e-07,2.6022633e-07
37,9.251315e-07,9.0946415e-08
38,1.2038403e-06,1.8730923e-07
39,8.5244025e-08,1.2751244e-07
40,3.90396e-07,8.5046544e-08
41,1.6057722e-07,8.342222e-08
42,1.18195054e-07,5.8765558e-08
43,2.1525152e-06,8.3796856e-08
44,1.8894376e-07,4.284953e-07
45,5.930003e-07,1.03766254e-07
46,4.5183123e-07,9.889626e-08
47,3.5579836e-07,7.9722945e-08
48,3.899655e-07,3.8198305e-08
49,3.0035886e-07,2.8348092e-07
50,1.18991196e-07,8.089343e-08
51,7.791609e-07,5.534459e-08
52,5.160595e-07,4.5010495e-08
53,9.9052535e-08,1.6300637e-08
54,3.7409354e-08,3.36528e-08
55,2.144626e-07,4.6194355e-08
56,1.2720832e-07,7.979349e-08
57,1.06517874e-07,4.27862e-08
58,3.3395196e-07,1.0140417e-07
59,1.0674678e-07,7.173755e-08
60,3.9123992e-07,7.362361e-07
61,7.468857e-07,1.9033514e-07
62,5.2652165e-08,4.363995e-08
63,8.4008036e-07,1.3423127e-06
64,8.279829e-08,1.1351418e-07
65,2.3558075e-08,3.499468e-07
66,6.02795e-08,1.6745034e-07
67,3.89635e-08,4.319408e-08
68,3.1328094e-07,9.8770215e-08
69,2.611812e-08,2.8181125e-06
70,9.251884e-09,2.10446e-08
71,8.197268e-09,1.0234881e-07
72,1.08474065e-08,1.6072093e-07
